club,division,possession
Blyth,Vanarama National League North,69
Chorley,Vanarama National League North,59
Boston United,Vanarama National League North,56
Tamworth,Vanarama National League North,53
Leamington,Vanarama National League North,52
Peterborough Sports,Vanarama National League North,52
Altrincham,Vanarama National League,51
Alfreton Town,Vanarama National League,51
Buxton,Vanarama National League North,51
Chester,Vanarama National League,50
Radcliffe,Vanarama National League North,49
Banbury United,Vanarama National League North,49
Hitchin Town,Vanarama National League North,48
AFC Telford,Vanarama National League North,48
Darlington,Vanarama National League North,48
Farsley,Vanarama National League North,47
Warrington,Vanarama National League North,47
Southport,Vanarama National League North,46
Oxford City,Vanarama National League North,46
Brackley,Vanarama National League North,46
Spennymoor,Vanarama National League North,44
Billericay,Vanarama National League South,44
Curzon Ashton,Vanarama National League North,44
Hereford,Vanarama National League North,41
