UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Gls/90,NP-xG/90,xpG_diff,Sprints/90,Shot/90,Shot %
215477,Alex Babos,"DM, M/AM (C)",25,"5'9""",0,475,,30/6/2024,3341,Hereford,Vanarama National League North,1,50,84.0,21.0,72.0,10.8,6.33,0.27,0.18,0.0,7.95,1.10,54%
28037033,Adam Blakeman,D/WB (L),32,"5'11""",0,525,,30/6/2024,1557,Chorley,Vanarama National League North,1,59,84.0,71.0,82.0,16.07,11.62,0.35,0.07,0.040000000000000036,17.86,1.68,34%
29107492,Declan Weeks,"DM, M (C)",28,"5'9""",0,400,,30/6/2026,4424,Chester,Vanarama National League North,1,47,89.0,63.0,74.0,10.86,7.97,0.2,0.06,0.0,8.81,1.24,38%
29222576,Yusifu Ceesay,M/AM (L),29,"6'2""",0,400,,30/6/2024,3658,Hereford,Vanarama National League North,1,50,82.0,49.0,79.0,14.27,8.37,0.22,0.23,0.010000000000000009,11.05,2.07,43%
90069813,Lassana Mendes,"M (RC), AM (R)",31,"5'10""",0,575,,30/6/2024,1697,Hereford,Vanarama National League North,1,50,85.0,49.0,80.0,14.32,9.18,0.21,0.25,0.04000000000000001,13.31,2.12,48%
2000108081,MatÃºÅ¡ HolÃ­Äek,AM (L),19,"6'0""",0,575,,30/6/2025,3649,South Shields,Vanarama National League North,1,50,84.0,45.0,94.0,12.85,6.24,0.35,0.24,0.010000000000000009,11.64,2.27,45%
2000130150,Chibike Okechukwu,ST (C),19,"5'11""",0,525,,30/6/2024,1716,Taunton,Vanarama National League South,1,50,87.0,29.0,75.0,23.55,1.42,0.21,0.22,0.010000000000000009,5.14,1.94,43%
90047169,Matt Warburton,"AM (C), ST (C)",32,"5'9""",0,850,,30/6/2025,1544,Solihull Moors,Vanarama National League,1,50,80.0,25.0,72.0,22.79,6.7,0.29,0.25,0.06,7.58,2.45,36%
29188715,Matt Rush,ST (C),23,"5'10""",0,575,,30/6/2024,1785,Maidstone,Vanarama National League South,1,50,85.0,24.0,85.0,19.51,2.72,0.2,0.23,0.03,7.31,2.22,36%
29045450,Matt McClure,ST (C),32,"5'10""",0,475,,30/6/2024,2132,Chippenham,Vanarama National League South,1,51,87.0,21.0,86.0,18.32,2.03,0.25,0.21,0.0,4.64,2.03,56%
28095353,Dominic McHale,AM (RLC),27,"5'11""",0,700,,30/6/2024,4209,Scarborough Athletic,Vanarama National League North,1,50,87.0,20.0,77.0,8.55,5.26,0.21,0.21,0.0,8.28,1.56,40%
2000120902,Lucias Vine,"AM (RL), ST (C)",20,"6'1""",0,0,,-,3275,Aveley,Vanarama National League South,1,44,85.0,17.0,77.0,17.4,2.97,0.25,0.25,0.020000000000000018,6.4,1.68,44%
2000166560,Luther Munakandafa,"AM (RL), ST (C)",20,"5'9""",0,425,,30/6/2025,3915,Dartford,Vanarama National League South,1,51,88.0,17.0,73.0,18.94,2.46,0.28,0.26,0.0,5.63,2.00,37%
2000144672,Pharrell Williams,ST (C),20,"5'9""",0,"1,800",,30/6/2027,"2,813",Crawley,Sky Bet League Two,2,50,86.0,18.0,83.0,22.49,1.50,0.22,0.22,0.0,5.66,2.14,42%
29127859,Frank Mulhern,"AM (RL), ST (C)",28,"5'11""",0,425,Balanced,30/6/2025,"2,468",Scarborough Athletic,Vanarama National League,2,50,84.0,41.0,77.0,19.84,3.06,0.22,0.26,0.04000000000000001,10.43,2.19,30%
29110719,Josh Amis,ST (C),30,"6'1""",0,0,Balanced,-,"1,350",Barwell,English Southern League Premier Central,2,50,60.0,0,79.0,0.00,0.00,0.2,0.21,0.009999999999999981,0.00,2.33,31%
