UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pas %,Drb/90,xA/90,Sprints/90,Drb/90,Shot/90,Shot %,xpG_diff
29188481,Callum Thompson,"M (R), AM (RC)",24,,0,210,Ambitious,30/6/2026,"1,875",,,0,53,86.0,35.0,77.0,17.54,5.76,86.0,4.0,0.24,9.60,4.0,1.54,34%,0.0
29217235,Connor Shanks,"M (L), AM (RL), ST (C)",24,,0,500,Balanced,30/6/2026,"1,419",,,0,53,85.0,24.0,83.0,15.94,6.34,85.0,5.28,0.2,10.72,5.28,1.27,40%,0.04999999999999999
29072743,Zak Mills,D/WB (R),32,"6'0""",0,475,,30/6/2024,3732,Boston Utd,Vanarama National League North,1,58,82.0,74.0,78.0,29.15,14.61,82.0,4.32,0.23,29.28,4.32,1.01,38%,0.0
28128056,Joe Oliver,D/WB (R),21,"6'0""",0,375,,30/6/2025,4139,Blyth,Vanarama National League North,1,64,85.0,59.0,84.0,36.57,13.2,85.0,8.89,0.27,18.81,8.89,0.57,42%,0.010000000000000002
29233758,Billy Fewster,AM (L),20,"5'10""",0,475,,30/6/2025,2965,Alfreton,Vanarama National League North,1,51,80.0,46.0,86.0,15.23,8.44,80.0,4.17,0.26,12.51,4.17,1.70,43%,0.0
29150496,Giovanni McGregor,M (C),25,"5'9""",0,0,,-,2136,Bishop's Stortford,Vanarama National League North,1,50,87.0,37.0,85.0,16.6,7.25,87.0,4.04,0.23,7.37,4.04,1.77,33%,0.04000000000000001
2000154221,Jermaine Francis,AM (RL),22,"5'7""",0,375,,30/6/2026,3444,Chelmsford,Vanarama National League South,1,56,84.0,34.0,84.0,19.31,6.19,84.0,4.23,0.24,12.65,4.23,1.20,39%,0.0
29156938,Luca Colville,AM (R),25,"6'1""",0,575,,30/6/2024,4307,Scarborough Athletic,Vanarama National League North,1,50,85.0,29.0,78.0,13.44,8.15,85.0,3.93,0.24,15.02,3.93,2.28,50%,0.0
29175036,Dom Tear,AM (RL),24,"5'11""",0,300,,30/6/2024,1439,Scarborough Athletic,Vanarama National League North,1,50,86.0,26.0,79.0,13.82,8.88,86.0,3.69,0.23,17.51,3.69,2.19,34%,0.04999999999999999
29159367,Kyle Finn,"M (R), AM (RLC)",25,"5'10""",0,230,,30/6/2024,4425,Tamworth,Vanarama National League North,1,51,83.0,24.0,90.0,16.73,6.02,83.0,3.77,0.29,12.2,3.77,1.55,49%,0.03
2000137499,Morgan Wigley,AM (R),18,"5'11""",0,525,,30/6/2025,2656,Hereford,Vanarama National League North,1,50,83.0,21.0,82.0,15.18,6.68,83.0,4.03,0.21,14.27,4.03,1.02,33%,0.0
29131412,Dion Sembie-Ferris,M/AM (RL),28,"5'9""",0,575,,30/6/2024,2208,Scunthorpe,Vanarama National League North,1,64,85.0,20.0,77.0,26.74,7.58,85.0,17.31,0.21,11.78,17.31,2.00,45%,0.0
2000109166,Brad Williams,AM (R),19,"5'8""",0,0,,-,1263,King's Lynn,Vanarama National League North,1,50,82.0,19.0,74.0,14.96,6.77,82.0,3.71,0.21,17.1,3.71,1.71,38%,0.0
2000103932,Josh Castiglione,AM (R),27,"5'6""",0,425,,30/6/2025,2860,Chelmsford,Vanarama National League South,1,56,85.0,19.0,66.0,18.98,6.07,85.0,4.03,0.24,11.27,4.03,1.01,28%,0.010000000000000009
29218026,Harry Green,AM (L),22,"5'10""",0,600,,30/6/2025,4042,Scarborough Athletic,Vanarama National League North,1,50,87.0,18.0,73.0,13.54,8.77,87.0,3.83,0.31,12.65,3.83,1.87,48%,0.0
29236669,Cameron Wilson,AM (R),21,"5'11""",0,875,,30/6/2025,2591,Scunthorpe,Vanarama National League North,1,64,88.0,15.0,81.0,26.88,7.02,88.0,17.21,0.2,11.01,17.21,1.70,35%,0.07
61071573,Justin Johnson,M/AM (RL),27,"5'7""",0,700,,30/6/2026,3966,Chorley,Vanarama National League North,1,59,88.0,13.0,77.0,19.04,6.56,88.0,9.17,0.23,8.62,9.17,1.45,45%,0.0
28122210,Dempsey Arlott-John,"AM (RL), ST (C)",22,"5'9""",0,180,,30/6/2024,1108,Tamworth,Vanarama National League North,1,51,88.0,9.0,85.0,12.18,6.74,88.0,4.31,0.25,13.65,4.31,1.62,30%,0.0
28122210,Dempsey Arlott-John,"AM (RL), ST (C)",23,"5'9""",0,0,Balanced,-,"4,140",Tamworth,Vanarama National League North,2,53,85.0,16.0,80.0,15.74,6.91,85.0,5.21,0.21,14.33,5.21,1.28,44%,0.0
