UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pr passes/90,Gls/90,NP-xG/90,xpG_diff,Sprints/90,Shot/90,Shot %
215477,Alex Babos,"DM, M/AM (C)",25,"5'9""",0,475,,30/6/2024,3341,Hereford,Vanarama National League North,1,50,84.0,21.0,72.0,10.8,6.33,1.89,0.27,0.18,0.0,7.95,1.10,54%
28037033,Adam Blakeman,D/WB (L),32,"5'11""",0,525,,30/6/2024,1557,Chorley,Vanarama National League North,1,59,84.0,71.0,82.0,19.6,11.62,8.21,0.35,0.07,0.040000000000000036,17.86,1.68,34%
29107492,Declan Weeks,"DM, M (C)",28,"5'9""",0,400,,30/6/2026,4424,Chester,Vanarama National League North,1,47,89.0,63.0,74.0,10.25,7.97,5.27,0.2,0.06,0.0,8.81,1.24,38%
29222576,Yusifu Ceesay,M/AM (L),29,"6'2""",0,400,,30/6/2024,3658,Hereford,Vanarama National League North,1,50,82.0,49.0,79.0,14.27,8.37,2.34,0.22,0.23,0.010000000000000009,11.05,2.07,43%
90069813,Lassana Mendes,"M (RC), AM (R)",31,"5'10""",0,575,,30/6/2024,1697,Hereford,Vanarama National League North,1,50,85.0,49.0,80.0,14.32,9.18,3.18,0.21,0.25,0.04000000000000001,13.31,2.12,48%
90091780,Connor Woods,AM (R),26,"5'8""",0,350,,30/6/2024,3734,Warrington,Vanarama National League North,1,44,84.0,45.0,85.0,13.11,8.7,3.18,0.17,0.22,0.04999999999999999,12.2,1.83,36%
2000108081,MatÃºÅ¡ HolÃ­Äek,AM (L),19,"6'0""",0,575,,30/6/2025,3649,South Shields,Vanarama National League North,1,50,84.0,45.0,94.0,12.85,6.24,2.84,0.35,0.24,0.010000000000000009,11.64,2.27,45%
29236394,Joseph Ajose,AM (RL),22,"6'1""",0,825,,30/6/2024,2458,St. Albans,Vanarama National League South,1,50,85.0,34.0,84.0,17.47,4.94,2.09,0.18,0.18,0.0,10.29,1.17,31%
2000130150,Chibike Okechukwu,ST (C),19,"5'11""",0,525,,30/6/2024,1716,Taunton,Vanarama National League South,1,50,87.0,29.0,75.0,23.55,1.42,0.89,0.21,0.22,0.010000000000000009,5.14,1.94,43%
29175036,Dom Tear,AM (RL),24,"5'11""",0,300,,30/6/2024,1439,Scarborough Athletic,Vanarama National League North,1,50,86.0,26.0,79.0,13.82,8.88,2.5,0.25,0.3,0.04999999999999999,17.51,2.19,34%
90047169,Matt Warburton,"AM (C), ST (C)",32,"5'9""",0,850,,30/6/2025,1544,Solihull Moors,Vanarama National League,1,50,80.0,25.0,72.0,22.79,6.7,1.63,0.29,0.25,0.06,7.58,2.45,36%
29188715,Matt Rush,ST (C),23,"5'10""",0,575,,30/6/2024,1785,Maidstone,Vanarama National League South,1,50,85.0,24.0,85.0,19.51,2.72,1.26,0.2,0.23,0.03,7.31,2.22,36%
94055335,Solomon Wanjau-Smith,"AM (L), ST (C)",25,"5'8""",0,850,,30/6/2024,2435,Maidstone,Vanarama National League South,1,50,86.0,22.0,80.0,23.58,3.81,2.29,0.18,0.18,0.0,12.53,1.33,42%
29045450,Matt McClure,ST (C),32,"5'10""",0,475,,30/6/2024,2132,Chippenham,Vanarama National League South,1,51,87.0,21.0,86.0,18.69,2.03,0.89,0.25,0.21,0.0,4.64,2.03,56%
28095353,Dominic McHale,AM (RLC),27,"5'11""",0,700,,30/6/2024,4209,Scarborough Athletic,Vanarama National League North,1,50,87.0,20.0,77.0,8.55,5.26,2.35,0.21,0.21,0.0,8.28,1.56,40%
2000120902,Lucias Vine,"AM (RL), ST (C)",20,"6'1""",0,0,,-,3275,Aveley,Vanarama National League South,1,44,85.0,17.0,77.0,15.54,2.97,1.13,0.25,0.25,0.020000000000000018,6.4,1.68,44%
2000166560,Luther Munakandafa,"AM (RL), ST (C)",20,"5'9""",0,425,,30/6/2025,3915,Dartford,Vanarama National League South,1,51,88.0,17.0,73.0,19.33,2.46,1.06,0.28,0.26,0.0,5.63,2.00,37%
2000144672,Pharrell Williams,ST (C),20,"5'9""",0,"1,800",,30/6/2027,"2,813",Crawley,Sky Bet League Two,2,50,86.0,18.0,83.0,22.49,1.50,0.51,0.22,0.22,0.0,5.66,2.14,42%
29158345,Jordy Mongoy,AM (R),26,"5'9""",0,625,,30/6/2026,"1,890",Whitby,English Northern Premier League Premier Division,2,50,60.0,55.0,68.0,0.76,0.43,0.05,0.19,0.3,0.10999999999999999,0.43,2.52,30%
29127859,Frank Mulhern,"AM (RL), ST (C)",28,"5'11""",0,425,Balanced,30/6/2025,"2,468",Scarborough Athletic,Vanarama National League,2,50,84.0,41.0,77.0,19.84,3.06,1.97,0.22,0.26,0.04000000000000001,10.43,2.19,30%
29110719,Josh Amis,ST (C),30,"6'1""",0,0,Balanced,-,"1,350",Barwell,English Southern League Premier Central,2,50,60.0,0,79.0,0.0,0.00,0.0,0.2,0.21,0.009999999999999981,0.00,2.33,31%
28122344,Jed Abbey,"M (C), AM (RLC), ST (C)",23,"6'3""",0,0,,-,"3,780",Kozakken Boys,Dutch Tweede Divisie,2,50,60.0,0,73.0,0.0,0.00,0.0,0.19,0.28,0.09000000000000002,0.00,2.57,38%
